index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
169,Organic Dosa Mix - Jowar,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,80,80,Breakfast & Snack Mixes,3.7,"Millets are micronutrients which are nutritious and is a replacement for rice and wheat. This Dosa mix is made from Sorghum/Jowar. Jowar is rich in fibre and iron. The high protein content of jowar controls blood sugar level, is good for bone health, and gluten-free. Certified organic products are only used."
170,Lunch Box/Tiffin Set - Green BB 570 2,"Kitchen, Garden & Pets",Storage & Accessories,Tedemei,509,565,Lunch Boxes,3.6,"Pack lunch for your loved ones easily with this uptown lunchbox by Tedemei. Made of high-quality stainless steel on the inside, the lunch box is sturdy, durable, and easy to clean. On the outside, it is made of high-quality plastic. The lunch box comes with an airtight flap and lock lid, which helps in keeping the food fresh for a longer time. Also, the lid closes tight enough to store solid as well as liquid food without worries of spillage. With a catchy green colour with a smart design, this lunch box is perfect to carry to the office."
171,BCAA Energy Drink - Berry Flavour,Beverages,Energy & Soft Drinks,NOCD,110,110,Sports & Energy Drinks,4,"NOCD provides a comprehensive
formula for stronger immune system, stronger
muscles, active brain and quality skin and hair
The presence of BCAA and different vitamins and
minerals along with effective levels of
antioxidants provides a complete synergistic
immune therapy to the body These elements of
the drink help protect against the damage caused
by free radicals Other nutrients like biotin, folic
acid protect DNA and cells from within It has
goodness of green coffee bean extract and l
carnetine which helps in weight management"
172,Coffee Energizing Face Scrub,Beauty & Hygiene,Skin Care,BIOTIQUE,142.5,190,Face Care,3,Biotique Coffee Energizing Face Scrub is enriched with 100% pure coffee extract. The coffee purifies and deeply cleanses your face. It scrubs away impurities and dead cells and brightens your face. It rejuvenates and energizes your skin. This Scrub wash gives you a clear complexation by removing tan and blackheads. It unclogs the pores giving you a healthy glow. It is made with all pure ingredients and is preservative-free.
173,Pain Relief - Oil,Beauty & Hygiene,Hair Care,Himalaya Wellness,90,100,Hair Oil & Serum,4.4,"Pain Massage Oil is a herbal oil which provides relief from neuromuscular pain and the pain associated with arthritis.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
174,Ultra Soft New Born Diapers - Extra Small,Baby Care,Diapers & Wipes,Huggies,699,999,Diapers,3.9,Huggies ultra soft pants are our softest diaper pants. The ultra-soft range is the very best from Huggies and features cotton-like softness to gently hug your baby. Every ultra-soft diaper pant is clinically proven to help prevent rashes.
175,Jungle Stimulating Facial Cleanser,Beauty & Hygiene,Skin Care,StBotanica,799,799,Face Care,,"Refine the tone and texture of your skin with our Jungle Stimulating Facial Cleanser. Infused with natural Vitamin E and extracts such as Green Tea, Cucumber, Aloe vera, Clary sage and Avocado, this cleanser defends the skin, helps reduce and prevent the appearance of wrinkles, dark spots, fine lines and other signs of ageing. The Balancing formula keeps the skin feeling revived and refreshed. After using the cleanser, welcome fresh, smoother, younger, happier and truly vibrant skin. Natural Face Wash with Vitamin E, Avocado Oil, Aloe Vera Extract, Cucumber Extract, Clary Sage Extract, Butchers Broom Extract. Ideal for both Men and Women.Tip: Following a regular skin care regime can help you achieve flawless skin. For more tips on skin care, visit bigbasket lifestyle blog, Click Here to visit bigbasket’s lifestyle blog"
176,Ylang Ylang Essential Oil,Beauty & Hygiene,Skin Care,Soulflower,328,450,Aromatherapy,4.5,"100% pure, natural and vegan Soulflower Ylang Ylang Essential Oil softens, rejuvenates and moisturises skin, keeps your skin and hair look healthy, hydrated and smooth by balancing scalp moisture.For Skin: Cananga Odorata (Ylang Ylang) essential oil is pale yellow to golden yellow and has a thin consistency. It retains skin moisture, controls acne, lightens scars and blemishes, prevents microbial growth; thus protects skin from bacterial or fungal infections. This oil is perfect in giving you beautiful and glowing skin as it balances skin oil, keeps your skin youthful, refreshed, hydrated and soft.For Hair: Ylang Ylang essential oil works great in rejuvenating the dry scalp, controlling hair fall, strengthening hair roots, balancing sebum secretion and boosting hair growth giving you a healthier scalp and hair. This oil also retains the natural moisture to your strands.For Diffusion: Ylang Ylang essential oil’s warmth and depth of herby aroma acts as an aphrodisiac attuning your Svadhistana; The Sacral Chakra. It also helps boost and uplift mind aromatically and gives you a sense of relief from panic, fear and shock. It is the spiritual energy centre of confidence, happiness, and resourcefulness and also related to the negative shades of greed, fear, and self-preservation.It is 100% natural, herbal, pure, organic & vegan."
177,Clear Glycerine Soap - Natural Toning (Tea Tree Oil & Honey),Beauty & Hygiene,Bath & Hand Wash,Medimix,40,40,Bathing Bars & Soaps,4.3,"Medimix Clear Glycerine-Natural Toning is meant for people with Normal Skin. It helps maintain healthy skin-tone the natural way. It contains the unique and time tested combination of Tea-tree Oil, Honey and Glycerine, which helps keep skin clear, firm and healthy. It makes your skin smile!!!  For Beauty tips, tricks & more visit https://bigbasket.blog/"
178,Soap,Beauty & Hygiene,Bath & Hand Wash,Mysore Sandal,430,430,Bathing Bars & Soaps,5,"Mysore Sandal-The Only Soap with Pure, natural Sandalwood Oil, Mysore Sandal Gold-Enriched with pure Sandalwood & Almond Oil and moisturisers, The Soap that comes close to the natural fragrance of Jasmine Flowers, Mysore Rose-The gentle fragrance of roses keeps you close to nature, Mysore Sandal Classic-The Soap with the goodness of Moistuiser and fragrant sandalwood Oil, Mysore Lavender-The Fragrance of Lavender for Freshness all through the day.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
179,Yellow Balm,Beauty & Hygiene,Health & Medicine,Siang Pure,195,195,Everyday Medicine,,"Siang Pure is premium International Brand for Herbal Natural Medicinal products made in Thailand since 1958 at the state of the Art Plant located in Bangkok to produce various products of Ancient Chinese Wisdom for Natural Cure based on the principles of self-healing. The Essence of Chinese Medicine is to maintain (Balance of Life) including that of the Body and External Nature as well as the internal balance of all Organs. Each Herbal ingredient works together to maximise the healing effects of One another mainly to improve blood circulation. Siang Pure Products are used by millions of customers in worldwide to get relief from Headache, Motion Sickness, Dizziness, Coughing (Throat Irritation), Nasal Congestion from Flu, Allergy, Sinus & Asthma, Stomach-ache, Gastric Distension, Insect Bites, Joint and Muscle Pain, Shoulder & Back Pain or Cramp etc without any side effects and now distributed in India by Hello Ten Brands Pvt. Ltd.,"
180,"LED Bulb - 12 Watt, Cool Daylight, B22 Base","Kitchen, Garden & Pets",Appliances & Electricals,AGARO,159,260,CFL & Led Bulbs,4,"High-Quality Bright Light: Glows with 80 CRI for better colour retention, giving the true colour effect more accurate.Economical: Consumes less energy thus saving 85% electricity bill compared to incandescent bulbs. Long Lasting: Lasts 10X longer than incandescent bulbs.No Visible Flickering: The right light enables you to experience flicker-free lighting and does away with physical discomfort to the eyes. Select LED bulbs with a lower Flicker Index and SVM less than 1.3.Glare Reduction Surface: Brightness of lamps can cause excessive sensitivity to the eyes. But the right light provides more comfort to the eyes, physical ease and relaxation when looking directly at them. Eye Safety Compliance: The right light is tested and certified to ensure the light is as safe to the eyes as any other artificial light source. LED products provide the right light for all your needs. Colour Temperature: Gives output colour temperature of 6500K for comfortable vision. Instant Start: Illuminates within a second at the flip of a switch."
181,Coriander Leaves 100 g + Garlic 250 g + Ginger 250 g + Chilli Green Long 250 g,Fruits & Vegetables,Herbs & Seasonings,Fresho,81.06,109.38,Indian & Exotic Herbs,,"Coriander leaves are green, fragile with a decorative appearance. They contain minimal aroma and have a spicy-sweet taste. Now do not bother wasting time cutting off the roots as we value your money and time and provide you with the freshest leafy edible parts.Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/33/green-chutney/ Garlic is made of several heads wrapped in thin whitish layers. They are firm and have a mild flavour. Once crushed, they emit a strong and pungent aroma.Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/819/pull-apart-cheese-garlic-bread/ Firm and fibrous ginger roots are stretched with multiple fingers that have light to dark tan skin and rings on it and is aromatic, spicy and pungent. The flavour gets intensified when the ginger is dried and lessens when cooked.Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/232/chinese-white-sauce/ Green chillis are the best kitchen ingredient to bring a dash of spiciness to recipes. The fresh flavour and sharp bite make them a must in almost all Indian dishes. This particular green chilli variety is big."
182,Jaggery/Bella Powder - Pesticide Free,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Safe Harvest,56,70,Sugar & Jaggery,3.9,"Safe Harvest Jaggery Powder is made in the traditional way from molasses from cane juice, which is slow cooked to deliver a rich, nutrient dense goodness all the way from Uttarakhand to you. With minimal processing and no bleaching, it is packed with beneficial vitamins and minerals like Iron, Calcium, Potassium and Zinc important for bone density, immunity boosting and reproductive health.  Available in versatile powdered form, it can be used in a wide variety of sweet preparations as a healthy substitute to white sugar.  Transfer to a clean airtight container after opening the packet to avoid lumps.  All Safe Harvest products are cultivated completely devoid of synthetic chemical pesticides."
183,Ready Masala - Kashmiri Meat,"Foodgrains, Oil & Masala",Masalas & Spices,Kohinoor,19,20,Blended Masalas,4.2,"This flavorful delicacy is the pride of Kashmir and one of the main dishes of the famous Kashmiri Wazwan, known for its heavenly taste and aromatic gravy, this dish is full of flavours and should not be missed by any meat lover. It won’t be untrue to say that if there’s a dish that tastes like heaven then this is it!"
184,"Water Saving Aerator, Switch",Cleaning & Household,All Purpose Cleaners,ECO365,509,509,"Kitchen, Glass & Drain",,"Eco365 presents water saving aerator for kitchen & washbasin tap. Its flow rate is as per green building norms. It is designed with a flow rate of 3 litres per minute to cut down on unnecessary water consumption. Regular pre-installed aerators on taps dispense much more water than actually required. Eco365 water saving aerator can reduce this water wastage by up to 80%. In a years time, an Eco365 aerator installed tap could save approx. 40000 litres of fresh water. Water saved is water earned. Measure your tap's opening before ordering. Tap aerators might be small but are one of the most essential parts of any tap set up. Covert your existing water taps into water-saving taps with Eco365 Aerator!"
185,Lemongrass Anti-Pigmentation Massage Cream,Beauty & Hygiene,Skin Care,Vaadi,148.5,165,Face Care,,"A super-rich mixture of various essential oils, this massage cream leaves your skin feeling super soft, supple & refreshed. Nutrient-rich Lemongrass & Cedarwood penetrate into the deeper layers of the skin granting health to the cells and fading away blemishes & marks. It makes your skin clear & vibrant."
186,Breakfast Mix - Finger Millet Ragi Idli,Snacks & Branded Foods,Ready To Cook & Eat,GoodDiet,119,149,Breakfast & Snack Mixes,4.2,"Ragiidli is a delicious savoury breakfast made from premium quality finger millets. It is extremely healthy, easily digestible and very nutritious. This ready-to-cook breakfast mix also contains sooji, which has a low glycemic index and that makes it a recommended food for diabetics. The high amount of dietary fiber in ragi keeps the stomach full for longer and prevents unwanted cravings. Upgrade your lifestyle by inviting more healthy foods into your kitchen."
187,Herbal Wine Grapefruit Lip Balm,Beauty & Hygiene,Skin Care,Khadi Natural,99,99,Lip Care,4.4,"Wine grapefruit lip balm is made with nutritious grapefruit seed oil, bursting with powerful vitamins. It refreshes your lips with a sweet hint of citrus and nourishes with vitamin c and softened and lustrous lips."
188,Masala Upma,Snacks & Branded Foods,Ready To Cook & Eat,MOM Meal of the Moment,20,20,Heat & Eat Ready Meals,3.4,Wholesome meal that tastes just like home food. Just add hot water. No preservatives
189,Maharishi Ayurveda Ayush Kwath,Beauty & Hygiene,Health & Medicine,Maharishi Ayurveda ,165,165,Ayurveda,,"Maharishi Ayurveda Ayush Kwath is a special Ayurvedic formulation made with herbs that act as an immunity booster. It helps in Fighting Infections. It is  Antibacterial, Anti Viral, and supports prana and Udana. Ayush Kwath is a scientifically proven natural supplement that has everything that your body needs to fight germs in a healthier way. This special Ayurvedic formula is scientifically researched and combines years of ayurvedic knowledge along with the world’s best herbs and other natural ingredients to provide the immune system with everything it needs. It can be sipped like tea or kadha and can be customized according to individual taste by adding Gud, lemon juice etc. Give a boost to your Immune system with this Scientifically proven Ayurvedic Kwath formula. Maharishi Ayurveda Ayush kwath is an Ayurvedic formula that helps in building your Immune system from within. This formulation is  Antibacterial, Anti Viral, and supports prana and Udana, thereby strengthening the body’s immune system. This is a simple technique to make your immunity strong. You just need to sip this kadha on a daily basis. In no time, you will feel the difference in your Immune system. Ayush Kwath comes in powder form and can be used daily to make your Immunity building Kadha. Made with organically produced herbs that are scientifically researched. It can be sipped like tea or kadha and can be customized according to individual taste by adding Gud, lemon juice etc."
190,Svachh Nakshtra Steel Inner Lid Pressure Cooker (20257),"Kitchen, Garden & Pets",Cookware & Non Stick,Prestige,2369,2780,Pressure Cookers,,Bring home a cooker that helps you keep the kitchen clean and safe. The Nakshatra Plus Svachh Pressure Cooker comes with a unique lid that contains any spillage that might occur during the course of cooking and prevents the messy liquid from dripping down.
191,Chicken Liver Gourmet Loaf With Pumpkin - Super Food,"Kitchen, Garden & Pets",Pet Food & Accessories,Kennel kitchen ,150,150,Pet Meals & Treats,,Natural food for dogs. Suitable for both adult and puppies. Preservative-free contains superfood pumpkin. Good for hydration. Suitable for all ages and sizes above 3 months of age. Suitable for both adult and puppies.
192,Bath & Body Oil - Oriental Spicy Rose,Beauty & Hygiene,Skin Care,Oriental Botanics,699,699,Aromatherapy,2,"Introducing the Oriental Botanics Bath and Body Oil - A botanical delicately scented Body Oil making it the best Oil for skin - a light natural oil that penetrates your skin cells to moisturize and provides a soothing topical barrier without clogging pores which leaving skin feeling hydrated and enriched. This product is uniquely blended with the high quality of 100% natural base oils of Sweet Almond, Avocado, Soya bean, Apricot, Jojoba and Grapeseed Oil. This light and non-greasy oil will be quickly absorbed and leaves only a comfortable feeling. Your skin will be soft and smooth after relaxing with Green Tea and Basil bath and body oil."
193,"Specialist Skin Care Oil - Scars, Stretch Mark, Ageing, Uneven Skin Tone",Beauty & Hygiene,Skin Care,Bio-Oil,333,450,Body Care,4.2,"Bio-Oil Skincare Oil is made for all skin types, this skincare oil can be used to help reduce the appearance of stretch marks, scars, and other marks due to surgery, injury, acne, aging, pregnancy, and more. Its fast-absorbing, non-comedogenic formula won't clog pores. It helps the skin to retain essential moisture to soften skin and provide dry skin relief. It's truly a multiuse oil that's recommended by skincare specialists across the world. Its unique formulation, which contains Vitamins and plant extracts along with the breakthrough ingredient PurCellin Oil™ is highly effective and clinically proven."
194,Brioche,"Bakery, Cakes & Dairy",Gourmet Breads,The Baker's Dozen,155,155,Gourmet Bread,4.4,"Loaded with butter (mind it, not margarine or vanaspati), try me for breakfast, as a desi €˜bun maska€™ or a French toast and start your day on a sweet note"
195,Onion - Rings,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Miaow Miaow,75,75,"Healthy, Baked Snacks",,"Miaow Miaow Onion Rings: Ingredients: Corn Grits, Palm Oil, Contain Onion Seasoning, Flavouring Substance, Sugar, Salt and Contains Anti Caking, Food Conditioner."
196,Cotton Mop With Telescopic Handle 150 Cm,Cleaning & Household,"Mops, Brushes & Scrubs",York,558,620,"Mops, Wipers",,"York is a Leading European manufacturer of household cleaning products. The mop consists of many highest quality cotton strings, ideal for cleaning various surfaces such as tiles and laminated floors. The thick thread is produced from an exceptionally durable material and comes with a telescopic handle."
197,Kale,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,10,12.5,Organic Vegetables,,"Kale is a crisp and hearty vegetable, with a hint of earthiness. Kale is considered a superfood (meaning it is nutrient-dense while being very low in calories) and packs more nutrition than almost any other whole food.1? Like other dark green leafy vegetables, kale is high in calcium, beta-carotene, and vitamin C, but surpasses other greens with its skyrocketing levels of vitamins A and K."
198,"Notebook - Unruled, Long",Cleaning & Household,Stationery,Classmate,33,33,"Notebooks, Files, Folders",4.3,"Classmate Notebooks are made to the highest quality standards. Made from superior quality paper and pulp, the pages are whiter, brighter and smoother. The superior cut and excellent finish ensure the pages are in perfect alignment without any folded corners. The superior binding strength and wrapper lamination make them as durable as ever. These notebooks come with a wide variety of covers with activities and trivias to make every classmate notebook unique in its own way."
199,Instant Noodles - Soy & Vinegar,Gourmet & World Food,"Pasta, Soup & Noodles",Koka,67.5,75,Imported Noodles,3.6,"Contains Anthocyanins, Rich in Natural Antioxidants, Non-Fried, No MSG, No Preservatives, No Artificial Colouring, No Trans Fat"
200,Gluten-Free Quinoa Flour,Gourmet & World Food,Cooking & Baking Needs,Graminway,378,378,Flours & Pre-Mixes,3.7,"Quinoa Flour is produced from Quinoa (kin-wah) which is a grain-like crop derived from South America. Quinoa provides protein, dietary fibre, B vitamins, and dietary minerals in rich amounts above those of wheat, corn, rice, or oats. It is gluten-free. Quinoa can be eaten as a rice replacement, as a hot breakfast cereal. Quinoa flour can be mixed with maize or wheat flour for making bread and pasta, and it is used for making or baking biscuits, cakes, and pastries in general."
201,"Chikki, Peanut Bar",Snacks & Branded Foods,Indian Mithai,Paper Boat,40,40,Chikki & Gajjak,4.1,"The classic! Everybody's favorite snack. Most coveted in tiffin boxes and among post-dinner treats or mid-day snack for that matter. Now that we think about it, this was the ever favorite snack (can you blame us, it is sooo snacky!) Made with the finest quality peanuts and jaggery, its crunchy sweetness is sure to bring a smile to your face."
202,1001 Nights Concentrated Oriental Perfume Free From Alcohol For Unisex,Beauty & Hygiene,Fragrances & Deos,Ajmal,4900,5000,Attar,,"Uniting deep-rooted traditions with modern times, Alf Lail O Lail Eau de Parfum, comprises Spicy and Smoky notes, which evolve into a menagerie of Floral elements, complemented by the lingering effect of Musky and Woody notes. Equally as enchanting as the fragrance and in continuation of the â€˜1001 Arabian Nightsâ€™ theme, the Eau de Parfum is encased in an exquisitely-crafted bottle resembling a magic lamp. The matt-gold finish of the casing and the silver cap add to the charm of the authentic looking Arabian bottle containing 60 ml of the entrancing scent, capturing the magic and mystery of the orient."
203,Man - Indigo Body Mist,Beauty & Hygiene,Fragrances & Deos,Nike,278.4,348,Body Sprays & Mists,,"A brand inspired by the Greek goddess of victory, it personifies strength, speed and energy and it launched its first perfume in 1929. Since then, a wide assortment of fragrance collections has hit the marketplace with refreshing, and eye-catching proposals that capture the essence and lifestyle of today´s man and woman.Nike Indigo man Body mist is long-lasting fragrant. Provides long-lasting protection with active formula."
204,Fields Of Gold Organic Cumin - Whole,"Foodgrains, Oil & Masala",Organic Staples,PRISTINE,52,52,Organic Masalas & Spices,4.4,"Cumin seeds are also known as “Jeera” in Hindi is a spice obtained from the dried seed of the herb, Cuminum Cyminum. Cumin seeds impart an earthy, warming and aromatic character to the food. It can be incorporated in a variety of cuisines in combination with coriander seeds powder. It can be added in garam masala in a roasted form and it is 100% Organic. It is certified by USDA and Indian Organic certification body like Control Union."
205,Body Massage Oil - Energising,Beauty & Hygiene,Skin Care,Aloe Veda,697.5,775,Aromatherapy,,"This Distil Energising Body Massage Oil is specially formulated with a healing blend of pure Essential Oils in a carrier oil base of premium Sweet Almond Oil. Distil Oils are gentle, light on the skin and easily absorbed by the body due to its ideal viscosity. It contains beta-carotene, gamma-oryzanol, tocotrienols (vitamin E) and vitamins D, C. The rich presence of essential fatty acids like palmitic, stearic, and linoleic acid moisturizes the skin, balances both dry and oily patches, reduce inflammation, soothes discomfort and is a wonderful oil for itchy alligator skin.Regular massage with Distil Massage Oils, promote the restoration of collagen at the cellular level, makes the skin firm, smooth and youthful in appearance. The special blend of Essential Oils is an aphrodisiac and gives a sensuous high."
206,Synthetic Food Colour Preparation Lemon Yellow,Snacks & Branded Foods,Ready To Cook & Eat,999,20,20,Home Baking,4,Synthetic Food Colour Preparation Lemon Yellow
207,"Toothpaste - Gum Care, Expert Protection",Beauty & Hygiene,Oral Care,Pepsodent,78.4,98,Toothpaste,4.3,"Reduce those dental visits with this Expert Protection Gum Care Toothpaste from Pepsodent. Formulated with Zinc Citrate technology, this toothpaste not only takes care of your teeth, but provides you with the best gum care. Its advanced formula consists of Germ check and Gum guard to provide you with Complete-8 action oral care. Its anti-bacterial formula prevents your teeth from cavities, reduces tartar and lactic acid, and eliminates bacteria to give you a refreshing breath and healthier teeth & gums. 


Perfect for the whole family, this toothpaste should be used twice daily for effective results. Buy this value pack right away and get the complete oral care for your teeth and gums. A quality product of Unilever Dental Research. TM Regd. Made in India."
208,Bio Myristica Spot Correcting Anti Acne Face Pack,Beauty & Hygiene,Skin Care,BIOTIQUE,149.25,199,Face Care,3.9,"Biotique Bio Myristica Face Pack will give you results that you have never experienced before. This spot correcting face pack treats pimples and helps control the bacteria that causes breakouts, redness and other skin irritations. Now say goodbye to bad skin days with this amazing formula!"
209,"Stainless Steel Frying Ladle - No. 9, Silvera","Kitchen, Garden & Pets",Kitchen Accessories,Anjali,65,82,"Strainer, Ladle, Spatula",3.7,The neat and clean design of this elegant frying ladle makes it essential for your home. It is made to be durable and from high-quality stainless steel. This spoon will survive multiple wash cycles and not lose its shine. It is easy to use for frying foods.
210,OvenOrg Multi Millet Rusk,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",PRISTINE,35,35,Rusks,1.8,"Pristine presents it's OvenOrg Multi Millet Rusk a perfect tea time treat for fitness lovers.  Loaded with great taste and Health Millets is a storehouse of nutrition and helps in mitigating new age ailments. They are highly nutritious and one of the most digestible grains.
The rusks are made from 57% Millet flour that is retrieved from the ebbing legacy of our cultural heritage. Enjoy this healthy package of delectable rusk at a tea-party with your friends and family."
211,Mahabhringraj Tel - Hairfall Reduction & Dandruff Control,Beauty & Hygiene,Health & Medicine,Baidyanath,295,295,Ayurveda,,"Mahabhringraj Tel is pure Ayurvedic chemical-free nourishing hair oil, made scientifically with the goodness of Bhringraj, a herb which is known in Ayurveda as ‘Keshraj’- king of hair, which helps your hair grow longer and healthier. The tail is prepared by Traditional Ayurvedic methods (Kshirpak vidhi) with a combination of 15 valuable clinically proven herbs dipped in pure Til tail (Sesame oil). This process with till tel as base oil will help to extract the entire medicinal qualities from the herbs giving us potent Mahabhringraj tel. Regular gentle massage of this therapeutic hair oil on the scalp will help control hair fall, strengthen hair from their roots, and is a helpful remedy for Dandruff. It’s a 100 % Natural formulation free from mineral oils, No silicone, No synthetic colours and fragrances"
212,Masterchefs Germ Protection Liquid Handwash Refill,Beauty & Hygiene,Bath & Hand Wash,Godrej Protekt,147,147,Hand Wash & Sanitizers,4.2,"Godrej Protekt Masterchef's is a handwash unlike any other. It does not contain harmful chemicals and is naturally derived. It washes the germs away with the goodness of glycerin and essential oils leaving your hands soft and your nose delighted. A Triclosan free handwash, it has been replaced with saner actives.This product is 100% recyclable and 100% reusable.Also available in Protekt Masterblaster variant."
213,Black Naturals Hair Colour Shade 1-Deep Black 20 ml + 20 gm,Beauty & Hygiene,Hair Care,Garnier,108.78,117,Hair Color,4.2,"It is an oil-enriched cream colour which gives natural-looking black hair. Works in 15 minutes, non-drip cream. Maintains softness, smoothness, and shine. No ammonia hair colour. Lasts for 6 weeks."
214,Apple Cider Vinegar - Raw Unfiltered Unpasteurized with Cinamon & Honey,Gourmet & World Food,Oils & Vinegar,Zoe,449.1,499,Balsamic & Cider Vinegar,5,"ZOE Apple Cider Vinegar (ZOE ACV) with Cinnamon and Honey is a naturally fermented with delicious natural Himalayan apples. ZOE ACV is 100 per cent pure and has the goodness of mother of vinegar that lends it a cloudy look, but is an affirmation of high quality unprocessed vinegar. Loaded with potent antioxidants and minerals ZOE ACV is an elixir of life. 

Cinnamon has anti-fungal and anti-bacterial characteristics to combat infections, bad breath, and tooth decay. Its anti-oxidative properties lowers the risk of cognitive infections and cancer. It provides benefits in controlling the cholesterol and triglyceride levels and blood pressure. Thus it is beneficial in keeping the heart diseases at bay. Also, the anti-diabetic property also helps in controlling by considerably increasing the receptivity to insulin. 

Honey is well known for its medicinal properties, particularly anti-inflammatory and alleviate allergies. Honey absorbs calcium, the natural form of unprocessed sugars such as fructose. The glucose present in honey quickly boosts energy levels. Finally, it helps to regulate sleep cycles and soothe the scalp."
215,"Brinjal - Varikatri, Organically Grown",Fruits & Vegetables,Fresh Vegetables,Fresho,10,12.5,Organic Vegetables,,"It Is Organically Grown And Handpicked From Farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
216,Wonderz Milk Shakes - Classic Vanilla,"Bakery, Cakes & Dairy",Dairy,Sunfeast,29.75,35,"Flavoured, Soya Milk",4.5,"Treat yourself with an exciting tasteful adventure and discover Wonderz of Milk in every sip. Classic Vanilla Shake is a wonderful blend of the goodness of vanilla and milk. Made with natural vanilla extracts, it promises to offer a classic thick and creamy milkshake experience. This product contains no preservatives and is a source of protein and calcium."
217,Marie Light Biscuits - Oats Fibre,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,25,25,"Marie, Health, Digestive",4.3,"Sunfeast Marie Light Oats, Crispy Marie biscuits enriched with the goodness of 2 power-packed fibres - natural wheat fibre and soluble oats fibre."
218,Masala - Chicken,"Foodgrains, Oil & Masala",Masalas & Spices,Annapoorna,28,28,Blended Masalas,4.8,Annaporna Spices are the preserve for Connoisseurs of authentic and pure ground Flovours & Aromas.
219,Dark Chocolate- 55% Rich In Cocoa,Snacks & Branded Foods,Chocolates & Candies,Amul,87.12,100,Chocolates,4.3,Amul Dark Chocolate is made with the finest ingredients and rich cocoa. Its strong flavour and silky texture is just what you need to fall in love with pure cocoa for its authentice taste.
220,Gentle Baby Wipes,Baby Care,Diapers & Wipes,Himalaya,699,699,Baby Wipes,4.1,"Infused with the goodness of Aloe Vera and Indian Lotus extracts, Gentle Baby Wipes are mild enough to soothe baby's bottoms during a diaper change. The wipes can also be used to gently cleanse baby's skin. The natural ingredients ensure that the baby remains bacteria-free throughout the day. Ideal for use when travelling."
221,Avocado,Fruits & Vegetables,Fresh Fruits,Fresho,105,131.25,Exotic Fruits,,"Avocado is an oval-shaped fruit with thick green and a bumpy, leathery outer skin. They have a unique texture, with a creamy and light green colored flesh that has a buttery flavour and a special aroma. Avocados are also known as alligator pear or butter fruit. These avocados delivered to you, will not just entice your taste buds but will also ensure your well being. The approximate weight of one avocado is around 300-500 g."
222,Plastic Dustbin - Beige,Cleaning & Household,Bins & Bathroom Ware,DP,249,449,Dustbins,4.1,"Keep your office or home clean and organised by keeping this stylish dustbin on the ground. It is rectangular. The dustbin is made using high-quality plastic, which makes it lightweight and durable. You can throw staple pins, papers pins, empty refills, pencil shavings, crumbled papers etc. Keep the trash and clutter away with this."
223,"Pineapple - Chunks, Single Serve",Fruits & Vegetables,Fresh Fruits,Fresho,19,23.75,"Cut Fruit, Tender Coconut",,"Our uniformly and perfectly cut pineapple chunks are enriching sight to behold.
We have reduced a large effort for you by removing the pineapple's prickly exterior and cubed its sweet, juicy flesh into bite-sized chunks.
Consumed on the during travel or in your breaks. These are alternatives for your snacks. A
dd them to your meal to make it interesting. Spice it up with a pinch of salt and masala. 
Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/865/american-pineapple-upside-down-cake-egg-free/"
224,Jeera Powder,"Foodgrains, Oil & Masala",Masalas & Spices,Catch,44.2,52,Powdered Spices,4.1,"Catch Jeera Powder is made using the advanced LTG technology that keeps its aroma and flavour intact. Jeera is well known for its digestive properties and is used in a variety of Indian Dishes. It’s undoubtedly an inseparable part of every Indian kitchen. Catch Jeera Powder is a basic Indian spice used extensively in all the Indian cuisines. The main use of this Indian masala is to add aroma, colour and flavours to vegetables, gravies, curries and meat dishes. Catch Jeera Powder is made from the best premium sortex quality cumin seeds sourced from Unjha, Gujrat & Jodhpur, Rajasthan."
