index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
80,"Toothbrush Superhero Assorted, Batman/Spiderman",Beauty & Hygiene,Oral Care,Colgate,49,79,Toothbrush,3.9,"Kids must brush their teeth at least 2 times a day and Colgate Kids Spider-man Toothbrush is a fun way to encourage good oral care habits early on! This attractive extra-soft bristle toothbrush has extra soft bristles specially designed for children. It is ideal for kids of age 5 years and above who have baby teeth or developing permanent teeth. Extra soft, multi-height bristles on the toothbrush effectively clean big and small teeth, while the raised tip helps clean hard to reach back teeth. The kid’s toothbrush features a well-rounded handle; a thumb grip offering comfortable hold; a suction cup at the base for easy and fun upright storage and a soft plus safe tongue cleaner on the back of the toothbrush head. Cleaning teeth could never have been more fun! Developed with the help and expertise of Pediatric dentists, Colgate offers a healthy and thoroughly clean. The toothbrush helps clean beyond teeth so your kid’s smile only gets brighter and cleaner."
81,Chips - Topica,Snacks & Branded Foods,Snacks & Namkeen,Sanjay ,65,65,Chips & Corn Snacks,3.9,Made with Topica
82,Cup a Soup - Croutons Cream of Asparagus,Gourmet & World Food,"Pasta, Soup & Noodles",Batchelors,269.1,299,Imported Soups,,"Batchelor's Cup a Soup with Croutons Cream of Asparagus: Serving Suggestion: 1. Empty a Sachet into a cup or mug, 2. Add 230ml of boiling water, 3. Stir well, wait a few moments, 4. Sit back and enjoy. Ingredients: As Served (greatest first) Water, Asparagus (5%), Maize Starch, Glucose Syrup, Vegetable Oil, Croutons (1.3), (Wheat Flour, Vegetable Oil, Salt, Yeast, Rosemary Extract), Lactose, Potato Starch, Salt, Onion Powder, Milk Proteins, Flavouring, Flavours Enhancers (Monosodium Glutamate, Disodium 5-ribonucleotides), Emulsifier (Mono-and Diglycerides of Fatty Acids), Acidity Regulator (Dipotassium Phosphate), Yeast Extract (Contain Barley), Turmeric, Natural Flavouring (Contains Celery)."
83,Organic Dal - Masoor,"Foodgrains, Oil & Masala",Organic Staples,Pro Nature,96,96,Organic Dals & Pulses,3.9,"Pro Nature Organic Masoor Dal, that comes in a hygienically sealed packet ensuring its freshness and taste. It is a preparation of pulses (dried lentils, beans or peas) which have been stripped of their external hulls and split. It is also high in carbohydrates whilst being virtually fat free. It is also rich in B vitamins thiamine and folic acid as well as numerous minerals, especially zinc and iron."
84,Strawberry Ice Cream,Gourmet & World Food,Dairy & Cheese,Haagen-Dazs,225,225,Gourmet Ice Cream,,"Haagen-Dazs strawberry ice cream is sweet, summer strawberries which introduced to delicate cream and other superb ingredients. Packed over with actual fruit, the true taste of the strawberries comes shining through. This is the strawberry lover's concentrate of pure enjoyment. It is soft and delightful tastes. It is very yummy creamy frozen dessert with real fruit pieces. The ice cream supari is most thinly developed flavors to give you a distinctive flavor."
85,Exo Dishwash Bar- Round 700 gm Box + Pril Dishwash Liquid- Active 2X Lime 225 ml,Cleaning & Household,Detergents & Dishwash,bb Combo,95,114,Dishwash Bars & Powders,,"Exo Dish Shine Round makes your vessels odorous and removes the stain. The fast action formula with the hyper-cleaning technology quickly removes the toughest of stains and makes your vessels shine like never before. This dishwashing bar does not leave traces on the vessel and hence it can be easily washed. It works hard on grease and stains, keeping your utensils fresh and shining. It contains many anti-microbial agents that keep your vessels away from dirt and microbes which do not create pealing or itching of your skin.Pril dishwash liquid has powerful active 2x molecules that cut away tough grease residue, removes the food smell and leaves the utensils sparkling clean."
86,Jupiter Water/Juice Glass Tumbler,"Kitchen, Garden & Pets",Crockery & Cutlery,BB Home,479,629,Glassware,,"B Home glasses are crafted and manufactured in Taiwan to bring the best of the quality, clarity in glass and shine for elegance. These glasses are very superior in quality with high wall thickness and with a heavy bottom to flaunt your style and elegance to your guest at the first impression. These glasses are manufactured with high precision to ensure no wobbling on the rim or bottom of the glass. These are 100% food grade and dishwasher safe. These high-quality glasses can be used for serving juice, water or even alcoholic drinks during your parties.BB Home products are always high quality and at a very competitive price compared to other branded products in the market. So when you get the best or better than the brands available in the market at a lower cost, definitely you save money and get the best quality product for your use."
87,"Cheese - Feta Greek, Block",Gourmet & World Food,Dairy & Cheese,Fresho Signature,695.7,773,International Cheese,,Fresho Signature brings to you one of the most loved and simplest of cheeses- the luscious Greek Feta made from sheep's milk using traditional recipes. Its briny and salty taste makes it a perfect table cheese to nibble with some bread or crackers. This cheese is perfect for a fresh veggie salad because its grainy texture balances out the crunch from the veggies making it ideal for stuffing into grilled vegetables or even works well with desserts. We prepare the cheese into dices as per your individual requirements for each order. Store in an airtight container in below 5°C and consume within 5 days of packing.
88,Avida 3-in-1 Semi Economy Pouch -  FG01248,Cleaning & Household,Pooja Needs,Shalimar,31.5,35,"Agarbatti, Incense Sticks",4.6,"3 in 1, Incense sticks, also known as agarbathi (or agarbatti) and joss sticks, in which an incense paste is rolled or moulded around a bamboo stick, are the main forms of incense in India. In India, burning incense is about spreading positivity in all around areas. Burning incense sticks is also a symbol of worshipping God and a symbol of peace and freshness.With powerful healing properties, these incense sticks can influence your life by increasing spirituality. The bamboo method originated in India and is distinct from the Nepali/Tibetan and Japanese methods of stick making without bamboo cores."
89,Bathing Soap - Sandal & Turmeric,Beauty & Hygiene,Bath & Hand Wash,Godrej No.1,254.15,299,Bathing Bars & Soaps,4.2,"Favoured by over 380 million consumers, Godrej No.1 offers you 'nature's way to beauty' with carefully chosen natural ingredients to make your skin naturally beautiful. It is Grade 1 quality soap and the highest-selling soap of its kind in the country. Godrej No.1 Sandal and Turmeric soap come with the sweet, balsamic, woody scent of the sandal. It preserves the young nature of your skin giving you a perfect complexion. It protects your skin and gives you a youthful and young look."
90,Sweet Corn Kernels - Chipotle,Fruits & Vegetables,Cuts & Sprouts,Supa Corn,55,55,Cut & Peeled Veggies,,"Ready To Eat Sweet Corn kernels, packaged using OXYFRESH Technology along with Chipotle masala sachet."
91,Ashwagandha Tablets,Beauty & Hygiene,Health & Medicine,Muniyal Ayurveda,120,120,Ayurveda,,"Muniyal Ayurveda Ashwagandha Tablet contains the Ayurveda herb, Ashwagandha, which has worked wonders with patients of cardiac and neural disorders for centuries. The tablet strengthens the nervous system and enables its users to handle stress better by elevating their stress threshold considerably. It is effective against hypertension and is also beneficial in renal complaints because of the diuretic properties of its ingredients. Its anti-inflammatory properties reduce the risk of fever, swelling and tenderness."
92,Hard Anodised Ezee-Pour Saucepan With Lid - L88,"Kitchen, Garden & Pets",Cookware & Non Stick,Hawkins Futura,864.5,910,Tawa & Sauce Pan,4.6,Futura Hard Anodised Saucepan comes with a spout for pouring and is especially suitable for making tea or other beverages and boiling milk. The larger capacity saucepans have flared rims. All saucepans either come with a lid or are offered with an optional lid. It has one long handle.
93,Topp Up Milk - Elaichi,"Bakery, Cakes & Dairy",Dairy,Gowardhan,80.01,90,"Flavoured, Soya Milk",5,"Gowardhan Topp-Up Milk is made by 100 % of cow's milk and has 10% more protein. This elaichi milk will taste like a rich and luxurious treat. Liked by all ages, this healthy drink is perfect for your hunger pangs and its delicious taste will surely going to please your taste buds."
94,Namkeen - Madras Mixture,Snacks & Branded Foods,Snacks & Namkeen,Townbus,10,10,Namkeen & Savoury Snacks,4.1,Townbus Savoury Snacks are made by combining the freshest of ingredients with a traditional recipie. These authentic snacks will take you down memory lane and remind you of the traditional snacks your grandma used to make with love. Townbus namkeens are perfect to relish with your evening tea or coffee. They can also be used in chaat for added flavour or to customise it as per your liking. Townbus every bite has a story.
95,"Stainless Steel Storage Lunch Container - Flat, Carry Snack Pack","Kitchen, Garden & Pets",Steel Utensils,Ramson,129,249,Steel Storage Containers,1.5,"These smart and stylish air-tight, spill-proof and moisture-free storage containers help keep your food fresh and tasty for longer. They have locks on 4 sides to prevent spills and moisture. The translucent lids let you easily see what's inside. These stainless steel containers are a big help when packing food for school and office. Durable and reusable, these containers can even be taken along for lunches and picnics. This size makes it ideal to store chapatis or any other Indian snacks."
96,Oceans Deodorant for Men - Long Lasting & Fresh Aquatic Fragrance,Beauty & Hygiene,Fragrances & Deos,Brut,179.4,299,Men's Deodorants,4,"Looking for an energetic fragrance that works for all occasions? Say hello to Brut Ocean Deodorant Spray. A fresh, aquatic version of the classic men’s fragrance, Brut Ocean leaves you feeling super fresh and energized through the day. It embodies an energetic experience – exactly what you need to either kickstart your day or post a great workout session. Enjoy this masculine, aquatic fragrance that lasts all day, all night. An iconic brand in the world of fragrances, Brut exemplifies absolute class, electrifying charisma and ultimate sophistication. So, what are you waiting for?"
97,Hair Remover Spray - Foam Lemon,Beauty & Hygiene,Feminine Hygiene,Dimples,1200,1200,Hair Removal,,"Denim BlackÃ‚ is made for the bold and the confident. The unmistakably intense and woody accord of Patchouli, Sandalwood & Cedar represent masculinity, while Amber, Labdanum & Oakmoss balances the composition with warm sensual tones.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
98,Mr. Magic Powder-To-Liquid Germ Protection Handwash Empty Bottle + Refill,Beauty & Hygiene,Bath & Hand Wash,Godrej Protekt,32.55,35,Hand Wash & Sanitizers,4.4,"Godrej Protekt Mr Magic handwash is a unique powder to liquid format, a first, in the world of handwashes! With Neem which is tough on germs and soothing Aloe Vera makes it gentle on skin. Extremely affordable compared to other handwashes in the market.Mr Magic handwash is not just green in colour, it's also green in nature. If all Indian households that use liquid handwash refills switch to Godrej Protekt Mr Magic refills, it would result in a greener, better world.So, add, pour, shake and wash to stay protected!"
99,Frankincense Oil,Beauty & Hygiene,Skin Care,Organic Harvest,258.75,345,Aromatherapy,3.7,"This Frankincense Oil balance, heals, tones and rejuvenates ageing skin. Its woody, warm, and balsamic aroma help calm the mind during meditation and creates a peaceful environment."
100,"Wonder Diaper Pants - Xtra Large, 12-17 Kg",Baby Care,Diapers & Wipes,Huggies,1266.38,1398,Diapers,4,"Huggies knows that nothing is more important than the comfort and well-being of your little baby. Choosing the best diaper for your baby is an important step in ensuring the comfort of your little one during the day as well as overnight. That is why we have lovingly designed Huggies Wonder Pants for the all-round comfort of your little one. These diaper pants keep your baby comfortable in the day and help them sleep peacefully at night without any wetness irritating their skin. Their cottony-soft material is gentle on their bum keeping their precious skin perfect. And their revolutionary Dry Touch Sheet pulls the wetness away from the skin of your baby keeping it dry and hygienic for up to 12 hours. If you are looking for safe and gentle care for your little one, stock up your diaper bags and changing tables with Huggies Wonder Pants."
101,Samrakshana Vaastu Deepa Thailam,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Samvruddhi,515,515,Other Edible Oils,,"Exclusive blend of quality oils and powerful divine herbs, Puja Oil is the blend of five puja oils - Coconut, Rice Bran, Sesame (Til), Castor and Mahua - sourced in their purest form and blended for cherished memories to last longer The oil constitution varies regionally."
102,Quinoa - Organic Black,Gourmet & World Food,Cooking & Baking Needs,Nourish You,495,495,Quinoa & Grains,,• Saponin Free • Gluten Free • Grown in India • Powerhouse of Fibre & Protein • Only plant food that provides high contents of all essential ammino acids in to protein • 2 X more amino acids than Rice & Wheat • 6X Leucine than wheat
103,Fructis Serum - Long & Strong,Beauty & Hygiene,Hair Care,Garnier,230,230,Shampoo & Conditioner,4.8,"Garnier Fruits Long & Strong Strengthening Serum detangles unruly hair, softens hair without heaviness and helps stop split and breakage ends. It is enriched with the goodness of Grape seed and avocado oil that result in smoother, shinier and longer hair.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
104,Citrus Blast Orange Lemon Soap Free Body Wash,Beauty & Hygiene,Bath & Hand Wash,Fuschia,225,250,Shower Gel & Body Wash,3.7,Fuschia Citrus Blast Body Wash is a fusion of Orange and Lemon extracts in a soap free formula. It is rich in Vitamin C. This body wash gives you firm and flawless skin.
105,Veda Marie Light Biscuits,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,30,30,"Marie, Health, Digestive",4.4,"Crispy Marie biscuits with the goodness of wheat fibre and 5 natural ingredients -Tusli, Ginger, Cardamom, Ashwagandha and Mulethi, making it the perfect partner for your cup of tea!"
106,"2 Fold Umbrella - Auto-Open & Manual Close, Dark Violet","Kitchen, Garden & Pets",Storage & Accessories,Fendo,289,749,Umbrella,3.6,"This Fendo Umbrella brings - Classic Women Umbrella, one of the most preferred umbrellas online. Made of Superior Polyester Fabric with UV Protection. It will withstand harsh weather conditions. Umbrella Care: Please allow the umbrella to dry before closing"
107,Aamras Mango Fruit Juice,Beverages,Fruit Juices & Drinks,Paper Boat,243,360,Juices,,"The one treasure that easily transforms Indian summer into a festivity that it is, is Aamras. An honest treat for an honest day’s work. A silkesque ale cascading down your throat - Soothing, serenading and more importantly, lingering. Sometimes enveloped in rotis, sometimes guzzled with milk but the best way to go about Aamras is to have it directly as is. The way the ancients intended. Without preservatives or artificial flavour. Without frills or hassles.
 Ah! One just cannot help but submit to the tasty tyranny of the one true king of the fruit realm. All hail the mango! Long live the king!"
108,Henna & Ginseng Anti Hair Loss Shampoo,Beauty & Hygiene,Hair Care,Jovees,137.75,145,Shampoo & Conditioner,3.6,"Jovees Herbal Anti- hair loss Shampoo is an excellent natural recipe containing naturally derived ingredients that have proven therapeutic properties, which aid in controlling hair loss, provide nutrition and strengthen the hair shaft. It shall also help in improving the texture of the hair."
109,"Sandwich Toaster - Non-Stick, Gas","Kitchen, Garden & Pets",Cookware & Non Stick,Omega,249,315,Kadai & Fry Pans,3.3,Omega toasters are budget friendly gas toasters that make beautifully crisp sandwiches and toasts to be enjoyed any time. It has a non stick coating inside and a hand crafted handle with maximum grip torque. They can be easily locked to keep the contents secured inside and are very easy and convenient to use.
